Input Prompt,Response,Category,Context
"""What if I feel like I’ll never find love again?""","""Many people find love again; focus on personal growth and self-love while engaging in social activities.""",Fear of Loneliness,Addressing fears about future relationships.
"""How can I support a friend going through a breakup?""","""Listen to them without judgment, offer your presence, and encourage them to express their feelings.""",Peer Support,Being there for friends in need.
"""What should I do if I'm still in love with my ex?""","""Take time to process your feelings, and focus on self-care while considering what’s best for you.""",Unrequited Love,Navigating lingering feelings for an ex.
"""How can I deal with mutual friends after a breakup?""","""Communicate openly with friends about your feelings, and set boundaries if necessary.""",Friendship Dynamics,Managing friendships after a relationship ends.
"""What can I learn from this relationship failure?""","""Reflect on both the positives and negatives; every relationship teaches us something valuable.""",Reflection,Gaining insights from past experiences.
"""How do I cope with family pressure to be in a relationship?""","""Communicate your feelings to your family and emphasize the importance of self-discovery.""",Family Pressure,Addressing expectations from family.
"""What if I regret the decision to break up?""","""Reflect on your reasons for the breakup; it's important to focus on your well-being.""",Regret,Managing feelings of second-guessing.
"""How can I start dating again after a breakup?""","""Take your time to heal first; when ready, engage in activities where you can meet new people.""",Starting Over,Preparing to enter the dating scene again.
"""What should I do if I'm afraid of being vulnerable in future relationships?""","""Reflect on past experiences and consider discussing your fears with a therapist or trusted friend.""",Fear of Vulnerability,Addressing fears about emotional intimacy.
"""How can I celebrate my independence after a breakup?""","""Engage in activities you love, take time for self-care, and treat yourself to something special.""",Self-Celebration,Embracing single life positively.
"""What should I do if I'm feeling bitter about love?""","""Acknowledge your feelings, but try to focus on self-growth and positive aspects of your life.""",Bitterness,Overcoming negative feelings about love.
"""How can I communicate my needs better in future relationships?""","""Practice assertiveness and reflect on your needs before entering a new relationship.""",Communication Skills,Improving relationship skills.
"""What if I feel like my identity was lost in the relationship?""","""Take time to rediscover yourself and engage in activities that align with your interests.""",Identity Crisis,Rebuilding a sense of self post-relationship.
"""How can I deal with feelings of betrayal after infidelity?""","""It's essential to process your feelings and consider seeking support from a counselor.""",Betrayal,Healing from trust issues.
"""What should I do if I'm still attached to my ex's family?""","""Acknowledge those connections; consider discussing boundaries if necessary.""",Family Attachment,Navigating complex emotional ties.
"""How can I practice self-love after a breakup?""","""Engage in activities that nurture you, practice positive affirmations, and prioritize your well-being.""",Self-Love,Fostering a positive relationship with oneself.
"""What can I do to prevent future heartbreak?""","""Reflect on past relationships, communicate openly, and set clear boundaries in future connections.""",Future Prevention,Learning to protect oneself in relationships.
"""Why can’t I stop thinking about my childhood abuse?""","""It's common to have these thoughts; healing takes time, and it's okay to seek help.""",Intrusive Thoughts,Processing past trauma.
